Berlin,"Berlin, Stadt",Berlin
Baiersbronn,Baiersbronn,Baden-Württemberg
Ritterhude,Ritterhude,Niedersachsen
Burbach,Burbach,Nordrhein-Westfalen
Südliches Anhalt,"Südliches Anhalt, Stadt",Sachsen-Anhalt
Stadtbergen,"Stadtbergen, St",Bayern
Langwedel,"Langwedel, Flecken",Niedersachsen
Eberbach,"Eberbach, Stadt",Baden-Württemberg
Fritzlar,"Fritzlar, Dom- und Kaiserstadt",Hessen
Walldorf,"Walldorf, Stadt",Baden-Württemberg
Niedernhausen,Niedernhausen,Hessen
Sandhausen,Sandhausen,Baden-Württemberg
Gründau,Gründau,Hessen
Bissendorf,Bissendorf,Niedersachsen
Reken,Reken,Nordrhein-Westfalen
Freigericht,Freigericht,Hessen
Füssen,"Füssen, St",Bayern
Gehrden,"Gehrden, Stadt",Niedersachsen
Bad Wörishofen,"Bad Wörishofen, St",Bayern
Markgröningen,"Markgröningen, Stadt",Baden-Württemberg
Leuna,"Leuna, Stadt",Sachsen-Anhalt
Stahnsdorf,Stahnsdorf,Brandenburg
Bad Wurzach,"Bad Wurzach, Stadt",Baden-Württemberg
Taucha,"Taucha, Stadt",Sachsen
Mainburg,"Mainburg, St",Bayern
Bad Laasphe,"Bad Laasphe, Stadt",Nordrhein-Westfalen
Mühlenbecker Land,Mühlenbecker Land,Brandenburg
Much,Much,Nordrhein-Westfalen
Kalletal,Kalletal,Nordrhein-Westfalen
Breisach am Rhein,"Breisach am Rhein, Stadt",Baden-Württemberg
Münster,Münster,Hessen
Großenkneten,Großenkneten,Niedersachsen
Langenau,"Langenau, Stadt",Baden-Württemberg
Garrel,Garrel,Niedersachsen
Malsch,Malsch,Baden-Württemberg
Mindelheim,"Mindelheim, St",Bayern
Petershagen/Eggersdorf,Petershagen/Eggersdorf,Brandenburg
Münsingen,"Münsingen, Stadt",Baden-Württemberg
Hainburg,Hainburg,Hessen
Wennigsen (Deister),Wennigsen (Deister),Niedersachsen
Dorfen,"Dorfen, St",Bayern
Eckental,"Eckental, M",Bayern
Jever,"Jever, Stadt",Niedersachsen
Sassenberg,"Sassenberg, Stadt",Nordrhein-Westfalen
Homberg (Efze),"Homberg (Efze), Kreisstadt",Hessen
Bad Camberg,"Bad Camberg, Stadt",Hessen
Grenzach-Wyhlen,Grenzach-Wyhlen,Baden-Württemberg
Lübben (Spreewald),"Lübben (Spreewald), Stadt",Brandenburg
Immenstadt i.Allgäu,"Immenstadt i.Allgäu, St",Bayern
Brühl,Brühl,Baden-Württemberg
Bergen auf Rügen,"Bergen auf Rügen, Stadt",Mecklenburg-Vorpommern
Angermünde,"Angermünde, Stadt",Brandenburg
Uhingen,"Uhingen, Stadt",Baden-Württemberg
Neunkirchen,Neunkirchen,Nordrhein-Westfalen
Oebisfelde-Weferlingen,"Oebisfelde-Weferlingen, Stadt",Sachsen-Anhalt
Lotte,Lotte,Nordrhein-Westfalen
Edingen-Neckarhausen,Edingen-Neckarhausen,Baden-Württemberg
Pattensen,"Pattensen, Stadt",Niedersachsen
Aldenhoven,Aldenhoven,Nordrhein-Westfalen
Büttelborn,Büttelborn,Hessen
Grünberg,"Grünberg, Stadt",Hessen
Oberndorf am Neckar,"Oberndorf am Neckar, Stadt",Baden-Württemberg
Gernsbach,"Gernsbach, Stadt",Baden-Württemberg
Schiffdorf,Schiffdorf,Niedersachsen
Stemwede,Stemwede,Nordrhein-Westfalen
Bebra,"Bebra, Stadt",Hessen
Kalkar,"Kalkar, Stadt",Nordrhein-Westfalen
Sylt,Sylt,Schleswig-Holstein
Beverungen,"Beverungen, Stadt",Nordrhein-Westfalen
Neuenkirchen,Neuenkirchen,Nordrhein-Westfalen
Niederzier,Niederzier,Nordrhein-Westfalen
Beverstedt,Beverstedt,Niedersachsen
Marienheide,Marienheide,Nordrhein-Westfalen
Biedenkopf,"Biedenkopf, Stadt",Hessen
Hatten,Hatten,Niedersachsen
Bad Bramstedt,"Bad Bramstedt, Stadt",Schleswig-Holstein
Hagen am Teutoburger Wald,Hagen am Teutoburger Wald,Niedersachsen
Ratzeburg,"Ratzeburg, Stadt",Schleswig-Holstein
Lohfelden,Lohfelden,Hessen
Stein,"Stein, St",Bayern
Aßlar,"Aßlar, Stadt",Hessen
Groß-Zimmern,Groß-Zimmern,Hessen
Murrhardt,"Murrhardt, Stadt",Baden-Württemberg
Großefehn,Großefehn,Niedersachsen
Zeven,"Zeven, Stadt",Niedersachsen
Wilsdruff,"Wilsdruff, Stadt",Sachsen
Hünxe,Hünxe,Nordrhein-Westfalen
Schwentinental,"Schwentinental, Stadt",Schleswig-Holstein
Zehdenick,"Zehdenick, Stadt",Brandenburg
Poing,Poing,Bayern
Plochingen,"Plochingen, Stadt",Baden-Württemberg
Pegnitz,"Pegnitz, St",Bayern
Ebersbach-Neugersdorf,"Ebersbach-Neugersdorf, Stadt",Sachsen
Rellingen,Rellingen,Schleswig-Holstein
Möckern,"Möckern, Stadt",Sachsen-Anhalt
Langenselbold,"Langenselbold, Stadt",Hessen
Rotenburg a. d. Fulda,"Rotenburg a. d. Fulda, Stadt",Hessen
Remshalden,Remshalden,Baden-Württemberg
Kelsterbach,"Kelsterbach, Stadt",Hessen
Mühltal,Mühltal,Hessen
Spiesen-Elversberg,Spiesen-Elversberg,Saarland
Neubiberg,Neubiberg,Bayern
Belm,Belm,Niedersachsen
Langerwehe,Langerwehe,Nordrhein-Westfalen
Solms,"Solms, Stadt",Hessen
Erbach,"Erbach, Kreisstadt",Hessen
Bad Soden-Salmünster,"Bad Soden-Salmünster, Stadt",Hessen
Quierschied,Quierschied,Saarland
Teutschenthal,Teutschenthal,Sachsen-Anhalt
Schermbeck,Schermbeck,Nordrhein-Westfalen
Herzberg am Harz,"Herzberg am Harz, Stadt",Niedersachsen
Obersulm,Obersulm,Baden-Württemberg
Mering,"Mering, M",Bayern
Usingen,"Usingen, Stadt",Hessen
Melsungen,"Melsungen, Stadt",Hessen
Bad Salzdetfurth,"Bad Salzdetfurth, Stadt",Niedersachsen
Bitburg,"Bitburg, Stadt",Rheinland-Pfalz
Saarwellingen,Saarwellingen,Saarland
Schönefeld,Schönefeld,Brandenburg
Denzlingen,Denzlingen,Baden-Württemberg
Eppstein,"Eppstein, Stadt",Hessen
Bovenden,"Bovenden, Flecken",Niedersachsen
Lauterbach (Hessen),"Lauterbach (Hessen), Kreisstadt",Hessen
Schwabmünchen,"Schwabmünchen, St",Bayern
Rödental,"Rödental, St",Bayern
Eichstätt,"Eichstätt, GKSt",Bayern
Hösbach,"Hösbach, M",Bayern
Höchstadt a.d.Aisch,"Höchstadt a.d.Aisch, St",Bayern
Hüllhorst,Hüllhorst,Nordrhein-Westfalen
Weißenhorn,"Weißenhorn, St",Bayern
Erlensee,Erlensee,Hessen
Neustadt i. Sa.,"Neustadt i. Sa., Stadt",Sachsen
Trebur,Trebur,Hessen
Marienberg,"Marienberg, Stadt",Sachsen
Borchen,Borchen,Nordrhein-Westfalen
Tostedt,Tostedt,Niedersachsen
Lich,"Lich, Stadt",Hessen
Hilpoltstein,"Hilpoltstein, St",Bayern
Haßfurt,"Haßfurt, St",Bayern
Isny im Allgäu,"Isny im Allgäu, Stadt",Baden-Württemberg
Anklam,"Anklam, Stadt",Mecklenburg-Vorpommern
Meckenbeuren,Meckenbeuren,Baden-Württemberg
Velen,Velen,Nordrhein-Westfalen
Steinheim,"Steinheim, Stadt",Nordrhein-Westfalen
Saterland,Saterland,Niedersachsen
Scheeßel,Scheeßel,Niedersachsen
Schleiden,"Schleiden, Stadt",Nordrhein-Westfalen
Lappersdorf,"Lappersdorf, M",Bayern
Winterberg,"Winterberg, Stadt",Nordrhein-Westfalen
Erbach,"Erbach, Stadt",Baden-Württemberg
Lorsch,"Lorsch, Karolingerstadt",Hessen
Vöhringen,"Vöhringen, St",Bayern
Eching,Eching,Bayern
Pfullendorf,"Pfullendorf, Stadt",Baden-Württemberg
Neckargemünd,"Neckargemünd, Stadt",Baden-Württemberg
Rosengarten,Rosengarten,Niedersachsen
Cremlingen,Cremlingen,Niedersachsen
Bergen,"Bergen, Stadt",Niedersachsen
Löningen,"Löningen, Stadt",Niedersachsen
Sendenhorst,"Sendenhorst, Stadt",Nordrhein-Westfalen
Asperg,"Asperg, Stadt",Baden-Württemberg
Markdorf,"Markdorf, Stadt",Baden-Württemberg
Gräfenhainichen,"Gräfenhainichen, Stadt",Sachsen-Anhalt
Herbrechtingen,"Herbrechtingen, Stadt",Baden-Württemberg
Eggenfelden,"Eggenfelden, St",Bayern
Grafing b.München,"Grafing b.München, St",Bayern
St. Georgen im Schwarzwald,"St. Georgen im Schwarzwald, Stadt",Baden-Württemberg
Grünstadt,"Grünstadt, Stadt",Rheinland-Pfalz
Gräfelfing,Gräfelfing,Bayern
Clausthal-Zellerfeld,"Clausthal-Zellerfeld, Bergstadt",Niedersachsen
Abensberg,"Abensberg, St",Bayern
Borken (Hessen),"Borken (Hessen), Stadt",Hessen
Buseck,Buseck,Hessen
Tauberbischofsheim,"Tauberbischofsheim, Stadt",Baden-Württemberg
Alpen,Alpen,Nordrhein-Westfalen
Neustadt a.d.Donau,"Neustadt a.d.Donau, St",Bayern
Neutraubling,"Neutraubling, St",Bayern
Ubstadt-Weiher,Ubstadt-Weiher,Baden-Württemberg
Brunsbüttel,"Brunsbüttel, Stadt",Schleswig-Holstein
Ahrensfelde,Ahrensfelde,Brandenburg
Maisach,Maisach,Bayern
Bohmte,Bohmte,Niedersachsen
Wolfhagen,"Wolfhagen, Stadt",Hessen
Lengede,Lengede,Niedersachsen
Weilburg,"Weilburg, Stadt",Hessen
Preußisch Oldendorf,"Preußisch Oldendorf, Stadt",Nordrhein-Westfalen
Wiesmoor,"Wiesmoor, Stadt",Niedersachsen
Winsen (Aller),Winsen (Aller),Niedersachsen
Linnich,"Linnich, Stadt",Nordrhein-Westfalen
Bad Freienwalde (Oder),"Bad Freienwalde (Oder), Stadt",Brandenburg
Wehr,"Wehr, Stadt",Baden-Württemberg
St. Leon-Rot,St. Leon-Rot,Baden-Württemberg
Coswig (Anhalt),"Coswig (Anhalt), Stadt",Sachsen-Anhalt
Tornesch,"Tornesch, Stadt",Schleswig-Holstein
Bedburg-Hau,Bedburg-Hau,Nordrhein-Westfalen
Ketsch,Ketsch,Baden-Württemberg
Dinklage,"Dinklage, Stadt",Niedersachsen
Bischofsheim,Bischofsheim,Hessen
Hungen,"Hungen, Stadt",Hessen
Treuchtlingen,"Treuchtlingen, St",Bayern
Fredersdorf-Vogelsdorf,Fredersdorf-Vogelsdorf,Brandenburg
Kerken,Kerken,Nordrhein-Westfalen
Östringen,"Östringen, Stadt",Baden-Württemberg
Kaufungen,Kaufungen,Hessen
Oberhaching,Oberhaching,Bayern
Friesenheim,Friesenheim,Baden-Württemberg
Krummhörn,Krummhörn,Niedersachsen
Landau a.d.Isar,"Landau a.d.Isar, St",Bayern
Sulingen,"Sulingen, Stadt",Niedersachsen
Rommerskirchen,Rommerskirchen,Nordrhein-Westfalen
Kirchheim b.München,Kirchheim b.München,Bayern
Quakenbrück,"Quakenbrück, Stadt",Niedersachsen
Fehmarn,"Fehmarn, Stadt",Schleswig-Holstein
Altötting,"Altötting, St",Bayern
Barßel,Barßel,Niedersachsen
Mutterstadt,Mutterstadt,Rheinland-Pfalz
Montabaur,"Montabaur, Stadt",Rheinland-Pfalz
Bad Dürrheim,"Bad Dürrheim, Stadt",Baden-Württemberg
Feucht,"Feucht, M",Bayern
Schüttorf,"Schüttorf, Stadt",Niedersachsen
Krumbach (Schwaben),"Krumbach (Schwaben), St",Bayern
Wadersloh,Wadersloh,Nordrhein-Westfalen
Haselünne,"Haselünne, Stadt",Niedersachsen
Tholey,Tholey,Saarland
Pößneck,"Pößneck, Stadt",Thüringen
Edemissen,Edemissen,Niedersachsen
Neustadt a.d.Aisch,"Neustadt a.d.Aisch, St",Bayern
Lichtenstein/Sa.,"Lichtenstein/Sa., Stadt",Sachsen
Peißenberg,"Peißenberg, M",Bayern
Spaichingen,"Spaichingen, Stadt",Baden-Württemberg
Bad Schönborn,Bad Schönborn,Baden-Württemberg
Philippsburg,"Philippsburg, Stadt",Baden-Württemberg
Plattling,"Plattling, St",Bayern
Ense,Ense,Nordrhein-Westfalen
Wächtersbach,"Wächtersbach, Stadt",Hessen
Tamm,Tamm,Baden-Württemberg
Pritzwalk,"Pritzwalk, Stadt",Brandenburg
Gladenbach,"Gladenbach, Stadt",Hessen
Markt Schwaben,"Markt Schwaben, M",Bayern
Wettenberg,Wettenberg,Hessen
Wasserburg a.Inn,"Wasserburg a.Inn, St",Bayern
Jüterbog,"Jüterbog, Stadt",Brandenburg
Twistringen,"Twistringen, Stadt",Niedersachsen
Mettlach,Mettlach,Saarland
Welver,Welver,Nordrhein-Westfalen
Burladingen,"Burladingen, Stadt",Baden-Württemberg
Holzgerlingen,"Holzgerlingen, Stadt",Baden-Württemberg
Perleberg,"Perleberg, Stadt",Brandenburg
Ettenheim,"Ettenheim, Stadt",Baden-Württemberg
Nordstemmen,Nordstemmen,Niedersachsen
Harsefeld,"Harsefeld, Flecken",Niedersachsen
Burglengenfeld,"Burglengenfeld, St",Bayern
Hessisch Lichtenau,"Hessisch Lichtenau, Stadt",Hessen
Neuenrade,"Neuenrade, Stadt",Nordrhein-Westfalen
Ottersberg,"Ottersberg, Flecken",Niedersachsen
Hersbruck,"Hersbruck, St",Bayern
Linden,"Linden, Stadt",Hessen
Ihlow,Ihlow,Niedersachsen
Bad Wünnenberg,"Bad Wünnenberg, Stadt",Nordrhein-Westfalen
Olfen,"Olfen, Stadt",Nordrhein-Westfalen
Hadamar,"Hadamar, Stadt",Hessen
Muldestausee,Muldestausee,Sachsen-Anhalt
Monschau,"Monschau, Stadt",Nordrhein-Westfalen
Kirchhundem,Kirchhundem,Nordrhein-Westfalen
Buchloe,"Buchloe, St",Bayern
Salzatal,Salzatal,Sachsen-Anhalt
Dossenheim,Dossenheim,Baden-Württemberg
Schöneiche bei Berlin,Schöneiche bei Berlin,Brandenburg
Bad Dürrenberg,"Bad Dürrenberg, Stadt",Sachsen-Anhalt
Bretzfeld,Bretzfeld,Baden-Württemberg
Feuchtwangen,"Feuchtwangen, St",Bayern
Ludwigslust,"Ludwigslust, Stadt",Mecklenburg-Vorpommern
Langelsheim,"Langelsheim, Stadt",Niedersachsen
Gaildorf,"Gaildorf, Stadt",Baden-Württemberg
Bad Windsheim,"Bad Windsheim, St",Bayern
Steinheim an der Murr,"Steinheim an der Murr, Stadt",Baden-Württemberg
Lippetal,Lippetal,Nordrhein-Westfalen
Hemsbach,"Hemsbach, Stadt",Baden-Württemberg
Mömbris,"Mömbris, M",Bayern
Rosbach v. d. Höhe,"Rosbach v. d. Höhe, Stadt",Hessen
Roßdorf,Roßdorf,Hessen
Bopfingen,"Bopfingen, Stadt",Baden-Württemberg
Waldbronn,Waldbronn,Baden-Württemberg
Wernau (Neckar),"Wernau (Neckar), Stadt",Baden-Württemberg
Fuldatal,Fuldatal,Hessen
Barsbüttel,Barsbüttel,Schleswig-Holstein
Issum,Issum,Nordrhein-Westfalen
Wentorf bei Hamburg,Wentorf bei Hamburg,Schleswig-Holstein
Altenstadt,Altenstadt,Hessen
Mülsen,Mülsen,Sachsen
Drolshagen,"Drolshagen, Stadt",Nordrhein-Westfalen
Bischofswerda,"Bischofswerda, Stadt",Sachsen
Mettingen,Mettingen,Nordrhein-Westfalen
Besigheim,"Besigheim, Stadt",Baden-Württemberg
Röthenbach a.d.Pegnitz,"Röthenbach a.d.Pegnitz, St",Bayern
Extertal,Extertal,Nordrhein-Westfalen
Sulz am Neckar,"Sulz am Neckar, Stadt",Baden-Württemberg
Kronshagen,Kronshagen,Schleswig-Holstein
Michendorf,Michendorf,Brandenburg
Niefern-Öschelbronn,Niefern-Öschelbronn,Baden-Württemberg
Durmersheim,Durmersheim,Baden-Württemberg
Pfarrkirchen,"Pfarrkirchen, St",Bayern
Rosdorf,Rosdorf,Niedersachsen
Bad Urach,"Bad Urach, Stadt",Baden-Württemberg
Balve,"Balve, Stadt",Nordrhein-Westfalen
Neuenburg am Rhein,"Neuenburg am Rhein, Stadt",Baden-Württemberg
Hildburghausen,"Hildburghausen, Stadt",Thüringen
Harsum,Harsum,Niedersachsen
Zetel,Zetel,Niedersachsen
Remchingen,Remchingen,Baden-Württemberg
Schongau,"Schongau, St",Bayern
Dautphetal,Dautphetal,Hessen
Beelitz,"Beelitz, Stadt",Brandenburg
Demmin,"Demmin, Hansestadt",Mecklenburg-Vorpommern
Hauzenberg,"Hauzenberg, St",Bayern
Wittingen,"Wittingen, Stadt",Niedersachsen
Schöneck,Schöneck,Hessen
Ergolding,"Ergolding, M",Bayern
Hirschaid,"Hirschaid, M",Bayern
Wolmirstedt,"Wolmirstedt, Stadt",Sachsen-Anhalt
Eichenau,Eichenau,Bayern
Langgöns,Langgöns,Hessen
Geisenheim,"Geisenheim, Stadt",Hessen
Braunsbedra,"Braunsbedra, Stadt",Sachsen-Anhalt
Tangerhütte,"Tangerhütte, Stadt",Sachsen-Anhalt
Havixbeck,Havixbeck,Nordrhein-Westfalen
Überherrn,Überherrn,Saarland
Linkenheim-Hochstetten,Linkenheim-Hochstetten,Baden-Württemberg
Titisee-Neustadt,"Titisee-Neustadt, Stadt",Baden-Württemberg
Jork,Jork,Niedersachsen
Gärtringen,Gärtringen,Baden-Württemberg
Graben-Neudorf,Graben-Neudorf,Baden-Württemberg
Schmölln,"Schmölln, Stadt",Thüringen
Rielasingen-Worblingen,Rielasingen-Worblingen,Baden-Württemberg
Gerstetten,Gerstetten,Baden-Württemberg
Blaubeuren,"Blaubeuren, Stadt",Baden-Württemberg
Bad Doberan,"Bad Doberan, Stadt",Mecklenburg-Vorpommern
Oberharz am Brocken,"Oberharz am Brocken, Stadt",Sachsen-Anhalt
Osterwieck,"Osterwieck, Stadt",Sachsen-Anhalt
Schöningen,"Schöningen, Stadt",Niedersachsen
Velten,"Velten, Stadt",Brandenburg
Lehre,Lehre,Niedersachsen
Teningen,Teningen,Baden-Württemberg
Bestwig,Bestwig,Nordrhein-Westfalen
Stollberg/Erzgeb.,"Stollberg/Erzgeb., Stadt",Sachsen
Bad Abbach,"Bad Abbach, M",Bayern
Bad Sassendorf,Bad Sassendorf,Nordrhein-Westfalen
Wickede (Ruhr),Wickede (Ruhr),Nordrhein-Westfalen
Emstek,Emstek,Niedersachsen
Querfurt,"Querfurt, Stadt",Sachsen-Anhalt
Ilsede,Ilsede,Niedersachsen
Oelsnitz/Erzgeb.,"Oelsnitz/Erzgeb., Stadt",Sachsen
Billerbeck,"Billerbeck, Stadt",Nordrhein-Westfalen
Gangelt,Gangelt,Nordrhein-Westfalen
Osterhofen,"Osterhofen, St",Bayern
Flöha,"Flöha, Stadt",Sachsen
Wietmarschen,Wietmarschen,Niedersachsen
Erkner,"Erkner, Stadt",Brandenburg
Peiting,"Peiting, M",Bayern
Oestrich-Winkel,"Oestrich-Winkel, Stadt",Hessen
Murnau a.Staffelsee,"Murnau a.Staffelsee, M",Bayern
Uplengen,Uplengen,Niedersachsen
Hagenow,"Hagenow, Stadt",Mecklenburg-Vorpommern
Kleinblittersdorf,Kleinblittersdorf,Saarland
Werther (Westf.),"Werther (Westf.), Stadt",Nordrhein-Westfalen
Kall,Kall,Nordrhein-Westfalen
Walldürn,"Walldürn, Stadt",Baden-Württemberg
Weinsberg,"Weinsberg, Stadt",Baden-Württemberg
Roding,"Roding, St",Bayern
Oftersheim,Oftersheim,Baden-Württemberg
Recke,Recke,Nordrhein-Westfalen
Neuhausen auf den Fildern,Neuhausen auf den Fildern,Baden-Württemberg
Dinkelsbühl,"Dinkelsbühl, GKSt",Bayern
Drochtersen,Drochtersen,Niedersachsen
Manching,"Manching, M",Bayern
Ladenburg,"Ladenburg, Stadt",Baden-Württemberg
Gaimersheim,"Gaimersheim, M",Bayern
Hammelburg,"Hammelburg, St",Bayern
Trostberg,"Trostberg, St",Bayern
Rodenbach,Rodenbach,Hessen
Burgthann,Burgthann,Bayern
Burgstädt,"Burgstädt, Stadt",Sachsen
Geeste,Geeste,Niedersachsen
Essenbach,"Essenbach, M",Bayern
Bad Belzig,"Bad Belzig, Stadt",Brandenburg
Ammerbuch,Ammerbuch,Baden-Württemberg
Lauenburg/ Elbe,"Lauenburg/ Elbe, Stadt",Schleswig-Holstein
Glückstadt,"Glückstadt, Stadt",Schleswig-Holstein
Schwieberdingen,Schwieberdingen,Baden-Württemberg
Schkopau,Schkopau,Sachsen-Anhalt
Heddesheim,Heddesheim,Baden-Württemberg
Wolgast,"Wolgast, Stadt",Mecklenburg-Vorpommern
Oelsnitz/Vogtl.,"Oelsnitz/Vogtl., Stadt",Sachsen
Vilsbiburg,"Vilsbiburg, St",Bayern
Raesfeld,Raesfeld,Nordrhein-Westfalen
Ochsenfurt,"Ochsenfurt, St",Bayern
Mandelbachtal,Mandelbachtal,Saarland
Rheinau,"Rheinau, Stadt",Baden-Württemberg
Apen,Apen,Niedersachsen
Glienicke/Nordbahn,Glienicke/Nordbahn,Brandenburg
Ebersberg,"Ebersberg, St",Bayern
Zella-Mehlis,"Zella-Mehlis, Stadt",Thüringen
Kissing,Kissing,Bayern
Eichenzell,Eichenzell,Hessen
Zwönitz,"Zwönitz, Stadt",Sachsen
Gundelfingen,Gundelfingen,Baden-Württemberg
Egelsbach,Egelsbach,Hessen
Raubling,Raubling,Bayern
Welzheim,"Welzheim, Stadt",Baden-Württemberg
Möhnesee,Möhnesee,Nordrhein-Westfalen
Rudersberg,Rudersberg,Baden-Württemberg
Miesbach,"Miesbach, St",Bayern
Altdorf,"Altdorf, M",Bayern
Hasbergen,Hasbergen,Niedersachsen
Salem,Salem,Baden-Württemberg
Isselburg,"Isselburg, Stadt",Nordrhein-Westfalen
Westerkappeln,Westerkappeln,Nordrhein-Westfalen
Bad Lauterberg im Harz,"Bad Lauterberg im Harz, Stadt",Niedersachsen
Rothenburg ob der Tauber,"Rothenburg ob der Tauber, GKSt",Bayern
Harrislee,Harrislee,Schleswig-Holstein
Lindenberg i.Allgäu,"Lindenberg i.Allgäu, St",Bayern
Laichingen,"Laichingen, Stadt",Baden-Württemberg
Aerzen,"Aerzen, Flecken",Niedersachsen
Sinzheim,Sinzheim,Baden-Württemberg
Meuselwitz,"Meuselwitz, Stadt",Thüringen
Leingarten,Leingarten,Baden-Württemberg
Oberschleißheim,Oberschleißheim,Bayern
Marktheidenfeld,"Marktheidenfeld, St",Bayern
Stelle,Stelle,Niedersachsen
Bad Fallingbostel,"Bad Fallingbostel, Stadt",Niedersachsen
Wolnzach,"Wolnzach, M",Bayern
Gommern,"Gommern, Stadt",Sachsen-Anhalt
Limburgerhof,Limburgerhof,Rheinland-Pfalz
Grünwald,Grünwald,Bayern
Diez,"Diez, Stadt",Rheinland-Pfalz
Handewitt,Handewitt,Schleswig-Holstein
Lauffen am Neckar,"Lauffen am Neckar, Stadt",Baden-Württemberg
Brieselang,Brieselang,Brandenburg
Schwaigern,"Schwaigern, Stadt",Baden-Württemberg
Sassenburg,Sassenburg,Niedersachsen
Meitingen,"Meitingen, M",Bayern
Mülheim-Kärlich,"Mülheim-Kärlich, Stadt",Rheinland-Pfalz
Regen,"Regen, St",Bayern
Grafschaft,Grafschaft,Rheinland-Pfalz
Scharbeutz,Scharbeutz,Schleswig-Holstein
Felsberg,"Felsberg, Stadt",Hessen
Kloster Lehnin,Kloster Lehnin,Brandenburg
Schalksmühle,Schalksmühle,Nordrhein-Westfalen
Donzdorf,"Donzdorf, Stadt",Baden-Württemberg
Neuhof,Neuhof,Hessen
Braunfels,"Braunfels, Stadt",Hessen
Vienenburg,"Vienenburg, Stadt",Niedersachsen
Leutenbach,Leutenbach,Baden-Württemberg
Grevesmühlen,"Grevesmühlen, Stadt",Mecklenburg-Vorpommern
Straubenhardt,Straubenhardt,Baden-Württemberg
Eisenberg,"Eisenberg, Stadt",Thüringen
Ostbevern,Ostbevern,Nordrhein-Westfalen
Pasewalk,"Pasewalk, Stadt",Mecklenburg-Vorpommern
Wald-Michelbach,Wald-Michelbach,Hessen
Lauingen (Donau),"Lauingen (Donau), St",Bayern
Bad Iburg,"Bad Iburg, Stadt",Niedersachsen
Tangermünde,"Tangermünde, Stadt",Sachsen-Anhalt
Rüthen,"Rüthen, Stadt",Nordrhein-Westfalen
Zeuthen,Zeuthen,Brandenburg
Eningen unter Achalm,Eningen unter Achalm,Baden-Württemberg
Gengenbach,"Gengenbach, Stadt",Baden-Württemberg
Möglingen,Möglingen,Baden-Württemberg
Marpingen,Marpingen,Saarland
Frohburg,"Frohburg, Stadt",Sachsen
Lorch,"Lorch, Stadt",Baden-Württemberg
Haigerloch,"Haigerloch, Stadt",Baden-Württemberg
Hüttenberg,Hüttenberg,Hessen
Fürth,Fürth,Hessen
Kriftel,Kriftel,Hessen
Kemberg,"Kemberg, Stadt",Sachsen-Anhalt
Maxhütte-Haidhof,"Maxhütte-Haidhof, St",Bayern
Morbach,Morbach,Rheinland-Pfalz
Steinau an der Straße,"Steinau an der Straße, Brüder-Grimm-Stadt",Hessen
Wilkau-Haßlau,"Wilkau-Haßlau, Stadt",Sachsen
Osterburg (Altmark),"Osterburg (Altmark), Hansestadt",Sachsen-Anhalt
Lichtenau,"Lichtenau, Stadt",Nordrhein-Westfalen
Malente,Malente,Schleswig-Holstein
Wettin-Löbejün,"Wettin-Löbejün, Stadt",Sachsen-Anhalt
Nußloch,Nußloch,Baden-Württemberg
Rosendahl,Rosendahl,Nordrhein-Westfalen
Klötze,"Klötze, Stadt",Sachsen-Anhalt
Nörvenich,Nörvenich,Nordrhein-Westfalen
Morsbach,Morsbach,Nordrhein-Westfalen
Ostrhauderfehn,Ostrhauderfehn,Niedersachsen
Rangsdorf,Rangsdorf,Brandenburg
Münchberg,"Münchberg, St",Bayern
Gemünden a.Main,"Gemünden a.Main, St",Bayern
Bad Schwalbach,"Bad Schwalbach, Kreisstadt",Hessen
Friedrichsthal,"Friedrichsthal, Stadt",Saarland
Anröchte,Anröchte,Nordrhein-Westfalen
Oberkrämer,Oberkrämer,Brandenburg
Waltershausen,"Waltershausen, Stadt",Thüringen
Niestetal,Niestetal,Hessen
Oberderdingen,Oberderdingen,Baden-Württemberg
Bannewitz,Bannewitz,Sachsen
Cadolzburg,"Cadolzburg, M",Bayern
Bad Staffelstein,"Bad Staffelstein, St",Bayern
Planegg,Planegg,Bayern
Langenzenn,"Langenzenn, St",Bayern
Adendorf,Adendorf,Niedersachsen
Herxheim bei Landau/ Pfalz,Herxheim bei Landau/ Pfalz,Rheinland-Pfalz
Denkendorf,Denkendorf,Baden-Württemberg
Unterföhring,Unterföhring,Bayern
Reiskirchen,Reiskirchen,Hessen
Schotten,"Schotten, Stadt",Hessen
Feldkirchen-Westerham,Feldkirchen-Westerham,Bayern
Altensteig,"Altensteig, Stadt",Baden-Württemberg
Hohenmölsen,"Hohenmölsen, Stadt",Sachsen-Anhalt
Werneck,"Werneck, M",Bayern
Waldkirchen,"Waldkirchen, St",Bayern
Eschenburg,Eschenburg,Hessen
Ruppichteroth,Ruppichteroth,Nordrhein-Westfalen
Brand-Erbisdorf,"Brand-Erbisdorf, Stadt",Sachsen
Hilter am Teutoburger Wald,Hilter am Teutoburger Wald,Niedersachsen
Gottmadingen,Gottmadingen,Baden-Württemberg
Boizenburg/ Elbe,"Boizenburg/ Elbe, Stadt",Mecklenburg-Vorpommern
Kranenburg,Kranenburg,Nordrhein-Westfalen
Rehburg-Loccum,"Rehburg-Loccum, Stadt",Niedersachsen
Böhl-Iggelheim,Böhl-Iggelheim,Rheinland-Pfalz
Steinbach (Taunus),"Steinbach (Taunus), Stadt",Hessen
Lahstedt,Lahstedt,Niedersachsen
